Date,Water Consumption(GL)
2019-09,35.44909440619729
2019-10,36.17710862712809
2019-11,35.5267794954947
2019-12,36.9042623215662
2020-01,48.31857272296031
2020-02,44.48004553760401
2020-03,53.66045369759677
2020-04,58.32385217198852
2020-05,60.247596312059315
2020-06,41.269694379924694
2020-07,40.69845002797369
2020-08,46.0210121134442
2020-09,40.61373775275539
2020-10,35.93630114670818
2020-11,54.54927963796799
2020-12,67.04288038033349
2021-01,88.51986838149898
2021-02,87.97317307788502
2021-03,114.31319734019696
2021-04,117.45084866051198
2021-05,118.96992675842301
2021-06,97.07771309432496
2021-07,110.93573944041721
2021-08,160.73955183534508
2021-09,158.09045135582056
2021-10,181.1212612947751
2021-11,173.94198849300005
2021-12,164.53694028898892
2022-01,166.51484163845902