Country,m3/MWh
Albania,5.7659548
Algeria,2.428618259
Angola,15.9785096
Argentina,16.71302048
Armenia,17.24620827
Australia,4.869093317
Austria,7.196315577
Azerbaijan,8.880043376
Bahrain,1.822106302
Bangladesh,10.32248525
Belarus,3.724589189
Belgium,1.358719991
Benin,1.942076191
Bhutan,65.85547697
Bolivia,19.93866328
Bosnia Herzegovina,2.741942109
Botswana,1.39276186
Brazil,44.46357313
Brunei,1.822103511
Bulgaria,17.47218819
Cote d'Ivoire,391.6798207
Cambodia,30.7800658
Cameroon,392.1052222
Canada,15.47528148
Chile,1.991037458
China,1.675160972
Colombia,4.531300202
Costa Rica,43.8161083
Croatia,2.451280362
Cuba,1.988209162
Cyprus,1.695638983
Czech Republic,9.412464896
Dem. People's Rep. of Korea,55.63845292
Denmark,0.5448631063
Dominican Republic,2.105530755
Ecuador,47.66880948
Egypt,41.2223033
El Salvador,10.38585438
Eritrea,1.793380792
Estonia,1.247107348
Ethiopia,38.13669666
Finland,17.80098349
France,2.460735847
Gabon,292.9461347
Georgia,49.14711251
Germany,1.494519963
Ghana,552.3000967
Gibraltar,1.822266469
Greece,2.075546831
Guatemala,24.15754218
Haiti,10.05844858
Honduras,24.45526127
Hungary,2.745685065
Iceland,2.163846818
India,4.174606448
Indonesia,1.67035692
Iran,2.010000626
Iraq,3.313941111
Ireland,1.512062756
Israel,1.619459294
Italy,2.140389732
Jamaica,4.058800313
Japan,8.038947429
Jordan,1.797622105
Kazakhstan,82.0471208
Kenya,6.049682751
Kuwait,1.821206537
Kyrgyzstan,15.875391
Laos,73.81301695
Latvia,7.082219484
Lebanon,5.024731161
Lesotho,494.1332342
Libya,1.822171106
Lithuania,1.946239213
Luxembourg,2.303268371
Malaysia,6.799642589
Malta,1.779571776
Mauritius,19.53772347
Mexico,5.658988397
Moldova,9.358293354
Mongolia,2.140581899
Montenegro,3.071888444
Morocco,8.196117889
Mozambique,80.78718495
Myanmar,32.12437224
Namibia,439.7647693
Nepal,64.05069051
Netherlands,1.347549022
New Zealand,4.992979526
Nicaragua,8.650295079
Niger,1.625141464
Nigeria,98.06898132
North Macedonia,2.331991336
Norway,12.26694053
Oman,1.82222453
Pakistan,3.407218653
Panama,38.04640739
Paraguay,35.901122
Peru,34.67756271
Philippines,1.787189811
Poland,4.783074921
Portugal,1.220418286
Qatar,1.822199071
Romania,54.25380693
Russia,32.38640411
Rwanda,267.6704006
Saudi Arabia,1.821719947
Senegal,32.58737378
Serbia,2.424392693
Singapore,1.795818613
Slovakia,31.17547195
Slovenia,2.691400556
South Africa,4.125319412
South Korea,2.855444644
South Sudan,1.819557344
Spain,1.690882056
Srilanka,22.2327731
Sudan,275.7103288
Suriname,36.7489099
Sweden,1.82158317
Switzerland,284.0420424
Syria,4.859932838
Tajikistan,32.10081768
Thailand,5.929625938
Togo,86.8239944
Trinidad and Tobago,1.822047744
Tunisia,3.285781447
Turkey,8.055358827
Turkmenistan,1.822266469
Uganda,427.8023463
Ukraine,15.69573131
United Arab Emirates,1.807316737
United Kingdom,1.410277882
Tanzania,12.76642136
Uruguay,74.60503147
United States,2.790550498
Uzbekistan,2.158402783
Venezuela,52.95299601
Vietnam,17.7840211
Yemen,1.767028604
Zambia,423.7424877
Zimbabwe,751.7994279